%time,field
1697994077803401792,1900
1697994077864033312,1901
1697994077913250912,1902
1697994077963225920,1900
1697994078013684416,1900
1697994078063275872,1900
1697994078123239776,1899
1697994078173238240,1900
1697994078223853344,1900
1697994078273331232,1899
1697994078325194592,1900
1697994078385153504,1900
1697994078433307104,1900
1697994078484323648,1900
1697994078537438528,1900
1697994078584612352,1901
1697994078643191520,1900
1697994078693507584,1900
1697994078743248320,1900
1697994078794487328,1900
1697994078859032512,1900
1697994078903211520,1902
1697994078954518976,1900
1697994079003198368,1900
1697994079053449056,1899
1697994079113598432,1900
1697994079163719744,1900
1697994079213221728,1900
1697994079265664192,1900
1697994079313165088,1900
1697994079373552256,1900
1697994079424280480,1900
1697994079474084928,1902
1697994079524261856,1900
1697994079573610688,1900
1697994079633191488,1898
1697994079684003840,1900
1697994079733252064,1899
1697994079783390144,1900
1697994079833554368,1900
1697994079893377952,1900
1697994079943925376,1900
1697994079994004640,1901
1697994080043447680,1900
1697994080103457632,1900
1697994080153238720,1900
1697994080205694112,1900
1697994080253588064,1900
1697994080303654816,1900
1697994080363747648,1899
1697994080414982656,1900
1697994080463284032,1900
1697994080513267776,1899
1697994080563133280,1900
1697994080623656224,1900
1697994080673923840,1898
1697994080723523072,1900
1697994080773923936,1900
1697994080826974720,1900
1697994080883707040,1900
1697994080934151904,1900
1697994080988070720,1900
1697994081033260608,1901
1697994081083303648,1900
1697994081143705760,1900
1697994081193259296,1900
1697994081246646144,1900
1697994081296740064,1900
1697994081353258176,1901
1697994081406536288,1900
1697994081453188320,1901
1697994081503270112,1900
1697994081553614624,1900
1697994081613228864,1899
1697994081663197056,1900
1697994081718524512,1899
1697994081765067424,1900
1697994081813176672,1899
1697994081873505120,1899
1697994081923251072,1899
1697994081973384128,1900
1697994082023209920,1900
1697994082074602144,1899
1697994082133195712,1900
1697994082183178528,1900
1697994082233315168,1900
1697994082285353184,1899
1697994082335488704,1900
1697994082393540480,1900
1697994082443828064,1900
1697994082493399840,1898
1697994082543533248,1900
1697994082603881696,1900
1697994082653204672,1900
1697994082703178304,1900
1697994082753552256,1900
1697994082803561696,1900
1697994082863783552,1900
1697994082915196640,1900
1697994082963923904,1900
1697994083013391808,1900
1697994083063456704,1900
1697994083123227296,1900
1697994083175895712,1900
1697994083223162560,1900
1697994083274049408,1900
1697994083324266528,1900
1697994083386527360,1901
1697994083433854144,1899
1697994083489758016,1899
1697994083533233280,1900
1697994083585768512,1902
1697994083643676608,1900
1697994083693523904,1899
1697994083744261312,1899
1697994083793552640,1900
1697994083853216896,1900
1697994083903116736,1900
1697994083954092128,1900
1697994084003554176,1900
1697994084057304864,1900
1697994084113748064,1900
1697994084163164768,1900
1697994084214651168,1900
1697994084265033536,1900
1697994084313556928,1900
1697994084377262016,1900
1697994084423210688,1899
1697994084474158784,1902
1697994084523240256,1900
1697994084574753152,1900
1697994084633461632,1900
1697994084683793568,1900
1697994084733327040,1901
1697994084783254720,1898
1697994084833443072,1901
1697994084898347200,1900
1697994084943579328,1900
1697994084996542496,1900
1697994085043200896,1900
1697994085103157120,1900
1697994085153270208,1900
1697994085207109856,1897
1697994085253851616,1899
1697994085304374176,1902
1697994085363915456,1900
1697994085413563968,1900
1697994085463237184,1900
1697994085514387808,1900
1697994085569300832,1901
1697994085623290016,1900
1697994085673210240,1900
1697994085723945472,1900
1697994085774520544,1900
1697994085824608992,1900
1697994085883855808,1900
1697994085933359008,1900
1697994085983268672,1900
1697994086033223840,1900
1697994086085765856,1900
1697994086143789952,1901
1697994086196153472,1893
1697994086243877248,1900
1697994086293263840,1900
1697994086353818240,1900
1697994086404547872,1900
1697994086453227680,1900
1697994086503306944,1899
1697994086553434624,1901
1697994086614036704,1900
1697994086663310112,1899
1697994086714030976,1898
1697994086764745184,1900
1697994086816230528,1900
1697994086873450528,1900
1697994086924684928,1900
1697994086973573472,1900
1697994087023362048,1899
1697994087074764896,1899
1697994087133472000,1898
1697994087183171520,1901
1697994087233937472,1900
1697994087283279936,1902
1697994087333237056,1899
1697994087394133184,1900
1697994087444446464,1900
1697994087493396832,1901
1697994087543435808,1900
1697994087603453920,1900
1697994087653321120,1900
1697994087703208736,1900
1697994087755263072,1900
1697994087803679456,1899
1697994087869795520,1900
1697994087913762336,1904
1697994087966079904,1900
1697994088013775136,1900
1697994088066063264,1900
1697994088117186112,1901
1697994088173874592,1902
1697994088224756160,1900
1697994088274392320,1900
1697994088323641600,1900
1697994088384029888,1900
1697994088434116032,1900
1697994088484230368,1900
1697994088533698624,1898
1697994088584095392,1897
1697994088643201120,1899
1697994088694081760,1900
1697994088748686624,1900
1697994088793649920,1900
1697994088854873408,1900
1697994088904314048,1900
1697994088953300128,1901
1697994089005717696,1900
1697994089053679104,1901
1697994089114037472,1900
1697994089163258560,1899
1697994089213234752,1900
1697994089263481248,1900
1697994089313152832,1900
1697994089374578304,1900
1697994089423900768,1900
1697994089475069024,1899
1697994089523589856,1900
1697994089573331456,1900
1697994089633493536,1900
1697994089683258016,1900
1697994089734178368,1899
1697994089783357856,1900
1697994089833595776,1899
1697994089893498720,1902
1697994089943193024,1900
1697994089993441600,1899
1697994090043264672,1902
1697994090108425184,1900
1697994090153529728,1898
1697994090203495808,1897
1697994090253471232,1900
1697994090303226336,1900
1697994090364099360,1900
1697994090413478464,1900
1697994090467611648,1898
1697994090513405728,1900
