%time,field
1697994377814408320,1455
1697994377864933600,1456
1697994377914076128,1458
1697994377963223392,1254
1697994378014699008,1454
1697994378073969440,1449
1697994378123422528,1448
1697994378173596000,1448
1697994378223638944,1444
1697994378274476448,1446
1697994378333187712,1432
1697994378385828512,1429
1697994378435538528,1428
1697994378483262976,1422
1697994378535639840,1424
1697994378593325056,1421
1697994378643665248,1406
1697994378693266304,1386
1697994378743267392,1286
1697994378803151744,1376
1697994378853925088,1379
1697994378903632064,1372
1697994378953699552,1347
1697994379003266048,1327
1697994379063204800,1336
1697994379113465024,1346
1697994379163340000,1354
1697994379213646976,1354
1697994379263215008,1332
1697994379323305632,1324
1697994379374793536,1329
1697994379423648992,1330
1697994379475010880,1329
1697994379523197408,1321
1697994379588128160,1319
1697994379633785120,1300
1697994379685937344,1292
1697994379733661600,1297
1697994379783816960,1297
1697994379843952160,1294
1697994379893420288,1303
1697994379944037088,1318
1697994379993541312,1314
1697994380053466688,1297
1697994380103231648,1275
1697994380155748672,1280
1697994380203523168,1277
1697994380253540096,1260
1697994380314839968,1245
1697994380364440960,1220
1697994380413219584,1232
1697994380463614400,1236
1697994380513219616,1238
1697994380573254528,1251
1697994380623203648,1255
1697994380674193888,1263
1697994380724021696,1252
1697994380773563040,1264
1697994380833725088,1298
1697994380884079456,1288
1697994380933223104,1303
1697994380988103040,1294
1697994381034296512,1271
1697994381084508864,1274
1697994381143687776,1274
1697994381193246304,1245
1697994381244985504,1248
1697994381303637248,1237
1697994381353282656,1230
1697994381406219488,1231
1697994381453159072,1237
1697994381503623296,1248
1697994381563298784,1226
1697994381615853760,1213
1697994381667041824,1221
1697994381713530400,1247
1697994381763364384,1294
1697994381823912032,1346
1697994381873465536,1352
1697994381926177152,1357
1697994381973913216,1370
1697994382023623040,1387
1697994382083971360,1393
1697994382133419648,1396
1697994382183438528,1384
1697994382233648800,1378
1697994382284095712,1369
1697994382343225056,1375
1697994382393335168,1384
1697994382443416256,1388
1697994382493348992,1396
1697994382554410496,1402
1697994382603499904,1419
1697994382653340896,1426
1697994382704227104,1211
1697994382756500640,1433
1697994382818500224,1436
1697994382863973312,1433
1697994382914333760,1433
1697994382963494720,1438
1697994383013518016,1441
1697994383075503232,1450
1697994383123402016,1450
1697994383176100992,1446
1697994383223276416,1450
1697994383274777280,1449
1697994383333573536,1449
1697994383384573344,1452
1697994383433472192,1446
1697994383484016800,1445
1697994383533921632,1446
1697994383593179200,1218
1697994383643584384,1446
1697994383694175296,1444
1697994383743409184,1445
1697994383803900384,1444
1697994383853398752,1442
1697994383905519392,1443
1697994383953374720,1442
1697994384009576128,1442
1697994384063201184,1442
1697994384113283456,1440
1697994384163378848,1441
1697994384213258304,1438
1697994384263382016,1438
1697994384327204416,1439
1697994384373471040,1437
1697994384423294592,1436
1697994384474091392,1434
1697994384523187552,1434
1697994384583172064,1438
1697994384634681600,1436
1697994384683478464,1432
1697994384734890976,1427
1697994384784306752,1214
