%time,field
1697993777803904800,1900
1697993777863801024,1900
1697993777913239104,1900
1697993777964293120,1899
1697993778013433536,1899
1697993778063803968,1900
1697993778123173120,1899
1697993778174407072,1900
1697993778223581920,1900
1697993778273252960,1900
1697993778323698880,1899
1697993778384751296,1898
1697993778433880448,1900
1697993778483322496,1900
1697993778533549568,1900
1697993778584050272,1901
1697993778643265056,1900
1697993778693327680,1900
1697993778743514624,1900
1697993778794385472,1899
1697993778853245600,1900
1697993778903122816,1900
1697993778953290976,1900
1697993779006420896,1900
1697993779053612992,1900
1697993779113942272,1900
1697993779164641568,1899
1697993779213254048,1900
1697993779264570368,1900
1697993779313200320,1900
1697993779373907136,1900
1697993779423962592,1900
1697993779476101376,1901
1697993779523163072,1900
1697993779573916000,1897
1697993779633263008,1900
1697993779683241952,1899
1697993779733792256,1900
1697993779783596224,1899
1697993779833547904,1900
1697993779893878400,1896
1697993779944068704,1901
1697993779993926112,1900
1697993780043924672,1900
1697993780103250112,1899
1697993780153949728,1900
1697993780205969408,1899
1697993780253254336,1899
1697993780303298304,1900
1697993780365876800,1899
1697993780413705824,1900
1697993780464117568,1900
1697993780517060480,1898
1697993780563206688,1901
1697993780623279776,1900
1697993780679122848,1899
1697993780723971104,1900
1697993780773894752,1898
1697993780823846208,1900
1697993780883978656,1901
1697993780933313472,1900
1697993780984282752,1900
1697993781033418304,1899
1697993781088587872,1900
1697993781143785248,1901
1697993781193267008,1900
1697993781246498496,1901
1697993781297388288,1900
1697993781354256512,1900
1697993781403515296,1899
1697993781453421184,1900
1697993781503492224,1900
1697993781553289280,1902
1697993781613466688,1900
1697993781663782016,1900
1697993781713247264,1899
1697993781763266912,1899
1697993781813941536,1902
1697993781873719520,1900
1697993781923284896,1899
1697993781974062048,1900
1697993782025626656,1899
1697993782073550816,1900
1697993782133183776,1900
1697993782183317568,1900
1697993782234332352,1899
1697993782283559360,1899
1697993782333255840,1900
1697993782393332640,1900
1697993782443198496,1900
1697993782493093920,1900
1697993782543295296,1900
1697993782603226240,1900
1697993782653917024,1900
1697993782704495136,1900
1697993782754118720,1902
1697993782803772800,1902
1697993782863874688,1900
1697993782913299648,1900
1697993782963716704,1900
1697993783013228768,1900
1697993783064142528,1900
1697993783123184864,1900
1697993783174541984,1900
1697993783223290688,1901
1697993783273782368,1900
1697993783324098944,1900
1697993783383844000,1900
1697993783433607232,1900
1697993783483857728,1900
1697993783533959360,1900
1697993783583761408,1902
1697993783643316992,1900
1697993783693744256,1900
1697993783744312704,1900
1697993783793828608,1900
1697993783853323712,1900
1697993783904184256,1900
1697993783953632352,1898
1697993784003692640,1900
1697993784054341984,1900
1697993784114403584,1900
1697993784166438208,1900
1697993784213336128,1900
1697993784263611424,1902
1697993784315510272,1900
1697993784373924256,1900
1697993784423157984,1900
1697993784473924896,1898
1697993784523183360,1900
1697993784573423328,1898
1697993784633333760,1900
1697993784683299488,1901
1697993784734536000,1900
1697993784783795616,1900
1697993784837535488,1900
1697993784893866912,1900
1697993784943565824,1900
1697993784993622400,1900
1697993785044376160,1900
1697993785103877760,1900
1697993785154340608,1900
1697993785204207648,1900
1697993785253968832,1900
1697993785307651232,1900
1697993785363527360,1899
1697993785413449568,1900
1697993785468143968,1900
1697993785513658848,1900
1697993785566119456,1899
1697993785624040000,1899
1697993785673514816,1900
1697993785723700960,1900
1697993785776028448,1900
1697993785827485728,1900
1697993785883596288,1899
1697993785933181376,1901
1697993785983237824,1900
1697993786033150336,1901
1697993786083280256,1900
1697993786143223264,1899
1697993786193326496,1900
1697993786243607520,1900
1697993786294231072,1900
1697993786354255136,1899
1697993786403671584,1900
1697993786453457536,1900
1697993786503197984,1900
1697993786554171776,1903
1697993786615987360,1900
1697993786663390944,1900
1697993786713341600,1900
1697993786763266720,1900
1697993786817215904,1900
1697993786873961056,1900
1697993786923121984,1900
1697993786973442496,1899
1697993787027838272,1899
1697993787073436320,1900
1697993787133779488,1900
1697993787183867392,1900
1697993787241935008,1900
1697993787283355008,1899
1697993787333609696,1900
1697993787393724000,1900
1697993787443325792,1899
1697993787494108160,1900
1697993787543244640,1900
1697993787603658656,1900
1697993787654066336,1900
1697993787703194688,1900
1697993787754285056,1900
1697993787803756704,1899
1697993787863359680,1900
1697993787913312512,1900
1697993787965138272,1900
1697993788013467424,1900
1697993788063355136,1900
1697993788124131520,1900
1697993788173546400,1900
1697993788223331104,1900
1697993788273457600,1901
1697993788323301984,1900
1697993788383762304,1901
1697993788434354752,1900
1697993788483662592,1900
1697993788533737728,1900
1697993788583526464,1900
1697993788643286304,1902
1697993788693324256,1898
1697993788743862848,1900
1697993788794365792,1899
1697993788853935744,1899
1697993788904701440,1900
1697993788953739072,1900
1697993789004305760,1897
1697993789053569856,1900
1697993789113328928,1900
1697993789163718784,1900
1697993789213950816,1900
1697993789263723712,1901
1697993789313384160,1900
1697993789373617120,1900
1697993789423238208,1900
1697993789473208864,1900
1697993789523320992,1900
1697993789574220160,1900
1697993789633422016,1899
1697993789683414464,1899
1697993789733442880,1899
1697993789783415584,1900
1697993789833990208,1899
1697993789893498848,1900
1697993789943459776,1900
1697993789993905216,1900
1697993790043264384,1899
1697993790103087040,1900
1697993790154135072,1900
1697993790203273056,1900
1697993790253772544,1901
1697993790303971648,1900
1697993790364135520,1900
1697993790413639072,1900
1697993790464076160,1900
1697993790513406912,1900
1697993790563201408,1900
1697993790623313632,1900
1697993790673378784,1901
1697993790723330880,1900
1697993790774127904,1901
1697993790823632448,1900
1697993790886652512,1900
1697993790933298496,1899
1697993790986581888,1900
1697993791033588160,1900
1697993791083283136,1900
1697993791143944288,1901
1697993791193605504,1902
1697993791248658432,1900
1697993791293447360,1899
1697993791353223392,1900
1697993791403620544,1899
1697993791453718528,1899
1697993791503398656,1899
1697993791553216416,1900
1697993791613453856,1899
1697993791663351392,1901
1697993791713679840,1900
1697993791763606752,1899
1697993791813403392,1899
1697993791873791296,1900
1697993791923276800,1900
1697993791973797376,1900
1697993792023162112,1900
