%time,field
1697994088484230368,1497
1697994088533698624,1496
1697994088584095392,1496
1697994088643201120,1498
1697994088694081760,1498
1697994088748686624,1498
1697994088793649920,1498
1697994088854873408,1498
1697994088904314048,1397
1697994088953300128,1499
1697994089005717696,1498
1697994089053679104,1500
1697994089114037472,1498
1697994089163258560,1497
1697994089213234752,1498
1697994089263481248,1498
1697994089313152832,1498
1697994089374578304,1498
1697994089423900768,1497
1697994089475069024,1497
1697994089523589856,1497
1697994089573331456,1498
1697994089633493536,1498
1697994089683258016,1499
1697994089734178368,1498
1697994089783357856,1498
1697994089833595776,1498
1697994089893498720,1500
1697994089943193024,1498
1697994089993441600,1498
1697994090043264672,1500
1697994090108425184,1497
1697994090153529728,1497
1697994090203495808,1498
1697994090253471232,1498
1697994090303226336,1498
1697994090364099360,1496
1697994090413478464,1498
1697994090467611648,1498
1697994090513405728,1498
1697994090564034048,1499
1697994090625897408,1498
1697994090673353280,1501
1697994090725813152,1498
1697994090773387040,1498
1697994090823199008,1498
1697994090883243264,1497
1697994090933637536,1500
1697994090983620512,1498
1697994091033202848,1499
1697994091083467200,1498
1697994091143291584,1498
1697994091193369984,1498
1697994091243557472,1498
1697994091294041344,1498
1697994091354437216,1498
1697994091403443264,1498
1697994091453505184,1497
1697994091505778944,1499
1697994091555741536,1498
1697994091613290944,1498
1697994091663607488,1498
1697994091717773344,1498
1697994091763184832,1415
1697994091814026944,1497
1697994091873938496,1499
1697994091927571488,1500
1697994091973576000,1498
1697994092023478336,1498
1697994092074143392,1498
1697994092133890944,1499
1697994092183343712,1498
1697994092233429760,1498
1697994092284087904,1498
1697994092333925312,1498
1697994092393276224,1498
1697994092443844416,1498
1697994092494305792,1499
1697994092543954144,1498
1697994092603541024,1497
1697994092653495520,1499
1697994092704352800,1498
1697994092753221440,1500
1697994092803328992,1498
1697994092863168160,1497
1697994092913223008,1498
1697994092964921344,1498
1697994093013243744,1502
1697994093063145568,1497
1697994093123149664,1498
1697994093174456864,1498
1697994093226358688,1498
1697994093274346080,1498
1697994093324125024,1498
1697994093383931968,1498
1697994093433340064,1498
1697994093483291296,1498
1697994093533394240,1498
1697994093584409792,1498
1697994093643246432,1497
1697994093694520640,1495
1697994093743396160,1498
1697994093793650528,1498
1697994093854179136,1498
1697994093903327808,1499
1697994093953812896,1500
1697994094003138560,1498
1697994094053954976,1501
1697994094113829792,1499
1697994094164448448,1497
1697994094213935168,1512
1697994094263256896,1513
1697994094314181632,1515
1697994094373455552,1514
1697994094426323616,1514
1697994094473625792,1515
1697994094524012832,1536
1697994094574648960,1535
1697994094633638688,1536
1697994094683442304,1536
1697994094733227872,1533
1697994094783853984,1528
1697994094833803136,1522
1697994094893822656,1515
