%time,field
1697993762704030400,1488
1697993762754307712,1486
1697993762803454656,1486
1697993762863507520,1486
1697993762919343136,1486
1697993762964323424,1371
1697993763013954816,1488
1697993763063386336,1487
1697993763125354752,1486
1697993763175418400,1487
1697993763223534048,1486
1697993763273316992,1487
1697993763325431520,1485
1697993763377856544,1486
1697993763433244960,1487
1697993763485020416,1486
1697993763533262144,1486
1697993763583211872,1486
1697993763643255744,1486
1697993763693756064,1485
1697993763743543008,1139
1697993763793427040,1487
1697993763853317408,1485
1697993763903248896,1485
1697993763954226880,1486
1697993764003187936,1484
1697993764053991776,1486
1697993764114302656,1486
1697993764163617120,1486
1697993764213492032,1486
1697993764263156416,1486
1697993764313290880,1486
1697993764373653184,1484
1697993764423108448,1485
1697993764473543200,1487
1697993764523933184,1486
1697993764576952960,1486
1697993764634096896,1486
1697993764683172928,1486
1697993764733320096,1486
1697993764789550016,1486
1697993764833437248,1488
1697993764893566208,1487
1697993764943293248,1385
1697993764993141408,1486
1697993765046227840,1486
1697993765103253184,1485
1697993765153178944,1487
1697993765203523936,1485
1697993765254725888,1486
1697993765303304576,1486
1697993765363545440,1487
1697993765413321856,1486
1697993765465674720,1486
1697993765514398176,1486
1697993765563576000,1486
1697993765623164384,1486
1697993765673262944,1486
1697993765726424960,1153
1697993765780335872,1485
1697993765823344896,1487
1697993765883302016,1486
1697993765933913856,1486
1697993765983158400,1486
1697993766033537760,1486
1697993766083367552,1485
1697993766143478624,1486
1697993766193873120,1487
1697993766243188704,1487
1697993766295978496,1485
1697993766353475776,1486
1697993766403340224,1486
1697993766456173888,1486
1697993766503212448,1486
1697993766553979008,1486
1697993766613453504,1486
1697993766663358560,1486
1697993766714046240,1486
1697993766764152160,1486
1697993766813483840,1486
1697993766877937152,1486
1697993766925112768,1486
1697993766974046880,1486
1697993767023181280,1486
1697993767074271776,1486
1697993767133626528,1487
1697993767183198048,1490
1697993767233532640,1486
1697993767287114656,1486
1697993767333795264,1486
1697993767393807776,1485
1697993767443176736,1485
1697993767493295072,1487
1697993767543195840,1485
1697993767603580672,1486
1697993767654014880,1486
1697993767710859872,1143
1697993767753248864,1486
1697993767803344672,1487
1697993767863451488,1488
1697993767913563040,1485
1697993767964577472,1486
1697993768013347968,1486
1697993768064248192,1486
1697993768123415296,1489
1697993768177282688,1485
1697993768223396704,1486
1697993768273339072,1486
1697993768324334464,1486
1697993768383931232,1486
1697993768433326304,1485
1697993768483968992,1485
1697993768533634464,1486
1697993768583552128,1104
